doi	isHuman	fk_prct	ai_words	txt_words
s41612-024-00839-3	50.0	48.06	1162	2268
s41746-024-01338-8	100.0	7.85	197	2136
s41893-024-01267-0	100.0	5.37	139	2235
s41893-024-01271-4	100.0	3.85	113	2262
s41893-024-01276-z	100.0	3.23	91	2262
s41893-024-01288-9	100.0	0.0	0	2335
s41893-024-01290-1	100.0	1.29	29	1449
s41893-024-01302-0	100.0	3.76	102	2375
s41893-024-01365-z	100.0	0.0	0	2115
s41929-023-01106-z	100.0	4.66	145	2364
s41929-024-01155-y	100.0	7.67	201	2279
s42003-024-07083-8	62.5	39.86	1037	2298
s42003-024-07135-z	100.0	10.48	290	2282
s42003-024-07237-8	100.0	7.1	195	2218
s42003-024-07255-6	100.0	2.38	74	2176
s42003-024-07263-6	100.0	5.47	157	2402
s42003-024-07264-5	100.0	10.19	298	2364
s42003-024-07271-6	100.0	4.4	113	2093
s42003-024-07273-4	100.0	6.6	176	2259
s42003-024-07286-z	100.0	1.75	59	2126
s42003-024-07287-y	100.0	0.0	0	2266
s42003-024-07296-x	75.0	24.25	653	2253
s42004-024-01299-9	75.0	22.58	546	2204
s42005-024-01877-2	100.0	15.23	443	2366
s42005-024-01882-5	100.0	0.0	0	2221
s41550-024-02418-1	100.0	3.3	96	2346
s41551-024-01267-7	100.0	4.76	137	2164
s41551-024-01282-8	87.5	15.98	454	2363
s41551-024-01287-3	100.0	2.29	63	2101
s41551-024-01289-1	100.0	2.18	63	2249
s41559-024-02582-7	100.0	13.0	342	2138
s41562-024-02023-2	100.0	0.0	0	2205
s41562-024-02033-0	62.5	37.5	905	2221
s41893-024-01475-8	100.0	9.64	286	2382
s41893-024-01477-6	75.0	28.34	666	2124
44304-024-00016-9	100.0	5.94	181	2401
44304-024-00033-8	100.0	7.67	234	2336
44310-024-00017-6	100.0	4.54	140	2387
44325-024-00008-8	37.5	53.51	1268	2225
44325-024-00013-x	75.0	28.2	687	2089
44325-024-00015-9	100.0	4.47	115	2071
44328-024-00006-x	100.0	11.6	289	2117
44328-024-00007-w	100.0	3.41	98	2267
44328-024-00008-9	87.5	15.16	332	2121
44328-024-00015-w	100.0	12.22	310	2044
44333-024-00011-7	75.0	25.81	398	1112
44335-024-00002-4	100.0	0.0	0	2196
44335-024-00005-1	100.0	12.47	344	2276
44335-024-00006-0	100.0	3.51	106	2228
44168-024-00135-z	100.0	3.83	114	2275
44168-024-00137-x	100.0	1.2	38	2073
44168-024-00140-2	100.0	0.0	0	2280
44168-024-00141-1	75.0	25.34	658	2226
44168-024-00142-0	100.0	8.37	244	2301
44168-024-00143-z	100.0	3.79	68	1388
44168-024-00145-x	100.0	16.64	454	2307
44172-024-00235-y	100.0	0.59	20	2201
44172-024-00237-w	87.5	14.07	290	2061
44172-024-00238-9	100.0	1.56	44	2242
44172-024-00240-1	100.0	0.0	0	2087
44172-024-00242-z	100.0	0.0	0	2179
44172-024-00243-y	100.0	0.0	0	2000
44172-024-00244-x	100.0	0.0	0	2334
44172-024-00245-w	100.0	4.12	109	2095
44172-024-00247-8	100.0	2.35	69	2208
44172-024-00248-7	100.0	0.0	0	2220
44172-024-00250-z	100.0	5.59	172	2266
44172-024-00255-8	100.0	6.36	208	2213
44185-024-00048-4	100.0	0.0	0	191
44185-024-00049-3	100.0	14.41	380	2204
44260-024-00012-0	100.0	0.0	0	1575
44260-024-00014-y	100.0	0.0	0	2107
44304-024-00012-z	100.0	1.45	48	2268
44304-024-00022-x	100.0	2.48	32	1002
44310-024-00019-4	100.0	0.0	0	2308
44310-024-00024-7	100.0	0.0	0	2259
44310-024-00028-3	87.5	18.24	475	2118
44310-024-00029-2	100.0	1.36	43	2208
44310-024-00030-9	100.0	2.18	62	2182
44310-024-00031-8	100.0	0.0	0	2176
44310-024-00033-6	100.0	14.08	360	2083
44310-024-00034-5	75.0	22.41	483	2050
44310-024-00035-4	100.0	0.0	0	2105
44323-024-00005-1	100.0	0.0	0	2339
44323-024-00007-z	100.0	10.61	301	2243
44325-024-00007-9	37.5	57.75	1379	2226
44325-024-00012-y	75.0	37.61	831	1953
44325-024-00014-w	75.0	32.57	849	2175
44325-024-00021-x	50.0	54.13	1285	2151
44325-024-00024-8	100.0	9.98	270	2225
44328-024-00011-0	100.0	0.84	24	2208
44328-024-00013-y	87.5	19.93	548	2181
44333-024-00002-8	100.0	1.03	30	1905
44334-024-00003-y	100.0	10.43	273	2091
44168-024-00164-8	100.0	0.0	0	503
44168-024-00168-4	100.0	1.9	58	2149
44172-024-00187-3	100.0	5.48	158	2261
44172-024-00199-z	100.0	1.6	49	2322
44183-024-00082-6	100.0	7.06	205	2269
44183-024-00084-4	100.0	7.14	200	2213
44183-024-00086-2	100.0	0.0	0	2140
44183-024-00088-0	100.0	0.0	0	68
44184-024-00086-7	100.0	12.9	346	2152
44184-024-00090-x	100.0	1.69	47	2242
44184-024-00091-w	87.5	18.58	497	2280
44184-024-00092-9	100.0	1.92	55	2138
44185-024-00060-8	100.0	3.6	99	2204
44168-024-00178-2	100.0	0.0	0	1439
44168-024-00185-3	100.0	5.54	189	2313
44172-024-00287-0	100.0	0.0	0	2243
44172-024-00291-4	100.0	10.61	308	2221
44172-024-00292-3	100.0	1.03	27	1986
44172-024-00293-2	100.0	5.37	151	2301
44172-024-00295-0	100.0	7.66	209	2092
44184-024-00088-5	100.0	5.6	155	2308
44185-024-00043-9	100.0	1.77	53	2326
44185-024-00063-5	100.0	3.78	23	433
s41528-024-00353-9	100.0	4.79	147	2242
s41528-024-00354-8	100.0	2.41	70	2130
s41559-024-02494-6	100.0	6.85	197	2228
s41570-024-00648-5	100.0	2.61	82	2238
s41570-024-00650-x	100.0	0.0	0	2149
s41698-024-00690-y	100.0	6.59	154	2028
s41698-024-00704-9	75.0	26.86	699	2199
s41698-024-00706-7	75.0	20.99	497	2143
s41698-024-00731-6	87.5	19.91	496	2132
s41698-024-00745-0	100.0	3.62	103	2117
s41698-024-00750-3	100.0	14.96	399	2157
s41698-024-00774-9	75.0	25.39	702	2395
s41550-024-02321-9	100.0	3.5	108	2306
s41550-024-02322-8	100.0	0.0	0	2397
s41550-024-02349-x	100.0	0.0	0	2388
s41550-024-02358-w	100.0	5.49	166	2476
s41550-024-02364-y	100.0	6.51	203	2441
s41550-024-02365-x	100.0	2.69	91	2645
s41550-024-02367-9	100.0	2.68	80	2358
s41551-024-01225-3	100.0	0.0	0	2027
s41551-024-01248-w	100.0	0.0	0	2250
s41551-024-01249-9	100.0	0.91	27	2127
s41559-024-02493-7	100.0	0.0	0	2241
s41559-024-02501-w	100.0	5.44	170	2413
s41559-024-02523-4	100.0	10.76	294	2207
s41562-024-01927-3	100.0	0.0	0	83
s41562-024-01942-4	100.0	0.0	0	2088
s41562-024-01971-z	100.0	5.38	152	2159
s41698-024-00727-2	87.5	18.62	516	2195
42255-023-00939-z	100.0	1.42	45	2293
42255-023-00940-6	87.5	15.94	379	2145
42255-023-00944-2	62.5	36.43	973	2507
42255-023-00957-x	50.0	46.18	1168	2297
42255-023-00961-1	75.0	22.5	609	2284
42255-023-00971-z	75.0	31.66	756	2308
42255-023-00972-y	100.0	8.98	227	2065
42255-024-00978-0	62.5	38.8	1004	2427
42255-024-00988-y	100.0	13.06	345	2249
42255-024-00996-y	100.0	14.26	389	2251
42255-024-01080-1	100.0	8.1	220	2279
42255-024-01081-0	100.0	13.96	366	2228
42256-023-00772-9	100.0	0.0	0	2270
42256-023-00773-8	100.0	0.0	0	2176
42256-023-00775-6	100.0	0.0	0	2168
42256-023-00787-2	100.0	0.0	0	2165
42256-023-00788-1	100.0	0.0	0	2337
42256-024-00794-x	100.0	0.0	0	125
42256-024-00795-w	100.0	0.0	0	2165
42256-024-00816-8	100.0	5.17	161	2168
42256-024-00821-x	100.0	0.0	0	2244
42256-024-00896-6	100.0	0.0	0	413
43587-024-00635-x	75.0	28.89	752	2326
43587-024-00645-9	100.0	12.01	355	2383
43587-024-00666-4	37.5	51.39	1234	2298
43587-024-00671-7	87.5	14.43	359	2350
43587-024-00672-6	100.0	10.15	301	2271
43587-024-00702-3	100.0	0.0	0	2417
43587-024-00728-7	100.0	8.81	265	2281
43587-024-00734-9	100.0	2.47	73	2309
43588-024-00662-z	100.0	0.0	0	2207
43856-024-00676-8	75.0	23.36	597	2146
43856-024-00677-7	75.0	21.96	562	2151
43856-024-00683-9	100.0	5.52	149	2189
43856-024-00690-w	100.0	17.38	450	2202
43587-024-00616-0	100.0	0.0	0	2280
43587-024-00754-5	100.0	1.34	44	2330
43588-024-00721-5	100.0	8.95	249	2229
43588-024-00732-2	100.0	13.91	346	2127
42255-024-01082-z	100.0	9.79	291	2434
42255-024-01085-w	75.0	29.65	799	2343
42255-024-01093-w	100.0	10.73	297	2227
42255-024-01101-z	75.0	23.55	592	2296
42255-024-01103-x	75.0	28.02	764	2277
42255-024-01109-5	62.5	37.63	928	2243
42255-024-01115-7	62.5	37.57	867	2207
42255-024-01118-4	100.0	7.3	193	2195
42255-024-01119-3	100.0	4.79	138	2269
42255-024-01153-1	75.0	23.66	644	2281
42256-024-00873-z	100.0	2.44	81	2218
42256-024-00875-x	100.0	7.43	198	2166
42256-024-00876-w	100.0	0.0	0	2204
42256-024-00879-7	100.0	0.0	0	2091
42256-024-00882-y	100.0	0.0	0	2105
42256-024-00883-x	100.0	6.65	203	2294
42256-024-00886-8	100.0	0.0	0	2308
42256-024-00888-6	100.0	0.0	0	2221
42256-024-00889-5	100.0	4.37	118	2073
42256-024-00892-w	100.0	0.0	0	2155
42256-024-00893-9	100.0	0.0	0	2277
42256-024-00898-4	100.0	2.32	70	2164
42256-024-00899-3	100.0	0.0	0	2360
42256-024-00900-z	100.0	0.0	0	2091
42256-024-00902-x	100.0	6.56	158	2091
42255-024-01133-5	100.0	10.97	297	2155
42255-024-01137-1	62.5	51.4	1281	2178
42255-024-01143-3	75.0	34.92	951	2376
42255-024-01149-x	75.0	27.72	758	2321
42255-024-01150-4	62.5	52.83	1288	2273
42255-024-01155-z	87.5	19.7	560	2367
42255-024-01159-9	100.0	14.94	398	2295
42255-024-01172-y	87.5	16.01	424	2277
42256-024-00798-7	100.0	0.0	0	2343
42256-024-00894-8	100.0	0.82	23	2299
42256-024-00906-7	100.0	2.19	62	2154
42256-024-00908-5	100.0	1.1	34	2229
42256-024-00910-x	100.0	2.31	62	2274
42256-024-00913-8	100.0	3.89	114	2165
42256-024-00916-5	100.0	0.0	0	2051
43018-024-00869-z	87.5	15.57	367	2188
43246-024-00563-8	100.0	0.0	0	2388
43246-024-00582-5	100.0	0.0	0	2484
43246-024-00584-3	100.0	2.03	57	2188
43246-024-00591-4	100.0	2.44	72	2322
43246-024-00595-0	100.0	0.0	0	2250
43246-024-00596-z	100.0	1.12	36	2332
43246-024-00597-y	87.5	17.55	386	1978
43246-024-00602-4	100.0	3.53	112	2243
43246-024-00603-3	100.0	0.0	0	2174
43247-024-01451-2	100.0	0.0	0	2207
43247-024-01523-3	100.0	6.94	209	2371
43247-024-01531-3	100.0	5.59	165	2381
43247-024-01570-w	100.0	4.7	144	2263
43247-024-01573-7	100.0	1.29	39	2205
43247-024-01578-2	100.0	10.99	322	2406
43247-024-01580-8	100.0	8.26	245	2218
43247-024-01587-1	100.0	0.0	0	2238
43247-024-01588-0	100.0	5.34	150	2189
43247-024-01589-z	100.0	13.66	368	2252
43247-024-01592-4	100.0	2.1	73	2444
43247-024-01593-3	100.0	0.0	0	2398
43247-024-01603-4	100.0	1.05	32	2267
43247-024-01605-2	100.0	5.73	166	2351
43247-024-01612-3	100.0	0.0	0	54
43247-024-01621-2	100.0	2.94	83	2354
s41378-024-00787-1	87.5	13.48	313	2221
s41378-024-00793-3	100.0	10.43	311	2356
s41405-024-00252-1	100.0	4.01	125	2305
s41420-024-02231-9	100.0	8.27	235	2276
s41420-024-02233-7	75.0	27.78	672	2176
s41421-024-00737-1	100.0	8.6	223	2250
s41477-024-01625-y	100.0	0.0	0	2243
s41522-024-00584-8	100.0	4.23	120	2337
s41522-024-00596-4	62.5	40.58	909	2035
s41522-024-00600-x	87.5	18.4	476	2186
s41522-024-00603-8	100.0	6.83	188	2267
s41523-024-00696-6	100.0	3.4	99	2146
s41524-024-01437-w	100.0	0.0	0	2144
s41524-024-01438-9	100.0	3.76	89	2088
s41524-024-01443-y	100.0	0.0	0	2107
s41524-024-01451-y	100.0	3.83	106	2214
s41524-024-01457-6	100.0	3.34	99	2243
s41526-024-00447-8	100.0	17.36	484	2227
s41531-024-00831-x	75.0	27.61	661	2217
s41534-024-00902-0	100.0	0.0	0	2247
s41534-024-00911-z	100.0	1.78	51	2176
s41537-024-00516-7	100.0	6.73	189	2205
s41537-024-00527-4	100.0	9.97	290	2341
s41537-024-00531-8	87.5	18.95	467	2163
s41540-024-00443-4	100.0	9.21	250	2152
s41540-024-00465-y	100.0	5.31	147	2268
s41540-024-00476-9	75.0	20.07	555	2057
s41545-024-00418-2	100.0	12.26	328	2105
s41612-024-00850-8	100.0	4.66	135	2295
s41612-024-00858-0	100.0	5.63	150	2198
s41612-024-00865-1	100.0	2.15	67	2329
s41612-024-00871-3	100.0	0.0	0	2370
s41612-024-00872-2	100.0	5.89	173	2191
s41746-024-01334-y	75.0	22.88	575	2322
s41746-024-01355-7	100.0	2.43	69	2225
s41746-024-01383-3	100.0	0.0	0	2162
s42003-024-07124-2	100.0	1.26	39	2241
s42003-024-07244-9	100.0	2.67	79	2256
s42003-024-07300-4	100.0	0.0	0	2241
s42003-024-07336-6	100.0	2.6	68	2213
s42003-024-07339-3	50.0	47.53	1163	2285
s42003-024-07343-7	100.0	13.48	344	2070
s42003-024-07346-4	75.0	28.58	711	2289
s42003-024-07352-6	75.0	21.25	569	2330
s42003-024-07355-3	100.0	7.81	210	2074
s42003-024-07364-2	75.0	30.0	712	2296
s42003-024-07369-x	75.0	26.25	729	2343
s42003-024-07371-3	100.0	2.4	69	2246
s42003-024-07376-y	100.0	0.87	25	2177
s42003-024-07388-8	87.5	15.96	391	2201
s42003-024-07398-6	100.0	0.0	0	2275
s42004-024-01373-2	100.0	0.0	0	2305
s42004-024-01382-1	100.0	9.26	231	1950
s42004-024-01385-y	100.0	5.9	161	2312
s42004-024-01392-z	100.0	0.0	0	2210
s42005-024-01891-4	100.0	0.0	0	2475
s42005-024-01893-2	100.0	1.87	60	2408
s42005-024-01902-4	100.0	11.46	306	2104
43018-024-00821-1	100.0	9.51	249	2275
43246-024-00692-0	100.0	0.0	0	2575
43246-024-00694-y	100.0	1.55	45	2209
43246-024-00723-w	100.0	0.0	0	2314
43247-024-01808-7	100.0	1.75	55	2402
43247-024-01847-0	100.0	0.0	0	2195
43247-024-01962-y	100.0	0.4	13	2181
43016-024-00967-2	100.0	1.81	59	2394
43016-024-00975-2	100.0	6.39	199	2395
43016-024-00996-x	100.0	0.0	0	417
43016-024-00997-w	75.0	27.3	730	2266
43016-024-01013-x	100.0	8.24	198	2155
43016-024-01028-4	87.5	17.36	497	2323
43018-024-00748-7	100.0	1.3	37	2320
43018-024-00789-y	87.5	18.88	469	2190
43018-024-00824-y	100.0	5.5	163	2229
43018-024-00831-z	100.0	16.89	472	2228
43246-024-00627-9	100.0	2.12	67	2425
43246-024-00657-3	100.0	6.58	195	2375
43246-024-00704-z	100.0	4.6	129	2237
43247-024-01756-2	100.0	0.0	0	2437
43247-024-01761-5	100.0	9.07	274	2377
43247-024-01842-5	100.0	0.0	0	2366
43247-024-01925-3	87.5	13.99	322	2134
43247-024-01933-3	100.0	0.0	0	2273
43247-024-01936-0	100.0	6.53	181	2257
s41378-024-00778-2	100.0	8.08	240	2318
s41378-024-00781-7	100.0	14.6	404	2169
