doi	fk_idx	cole_idx	date
44221-024-00335-1	23.7	47.55	2024-10-18T00:00:00Z
44220-024-00319-w	17.2	13.82	2024-09-09T00:00:00Z
44220-024-00256-8	16.9	28.35	2024-06-17T00:00:00Z
44221-024-00295-6	16.3	54.1	2024-08-01T00:00:00Z
44221-024-00293-8	17.6	30.03	2024-08-26T00:00:00Z
44220-024-00358-3	18.4	23.55	2024-11-18T00:00:00Z
44298-024-00075-9	16.9	28.06	2024-12-05T00:00:00Z
44303-024-00058-8	18.1	27.83	2024-12-05T00:00:00Z
44221-024-00327-1	17.9	30.03	2024-11-18T00:00:00Z
44271-024-00172-8	14.4	22.08	2024-12-18T00:00:00Z
44264-024-00036-y	16.5	26.78	2024-12-18T00:00:00Z
44264-024-00034-0	17.9	28.23	2024-12-18T00:00:00Z
44276-024-00113-2	18.1	24.14	2024-12-18T00:00:00Z
44220-024-00292-4	16.1	24.53	2024-08-15T00:00:00Z
44221-024-00350-2	24.4	41.64	2024-11-18T00:00:00Z
44271-024-00163-9	17.0	30.31	2024-12-17T00:00:00Z
44221-024-00299-2	16.0	26.73	2024-09-06T00:00:00Z
44271-024-00176-4	16.1	27.41	2024-12-16T00:00:00Z
44221-024-00297-4	16.9	27.54	2024-09-06T00:00:00Z
44259-024-00066-z	16.5	27.88	2024-12-16T00:00:00Z
44221-024-00291-w	15.8	28.52	2024-09-02T00:00:00Z
44271-024-00153-x	16.2	29.28	2024-11-01T00:00:00Z
43247-024-01790-0	17.3	30.89	2024-11-12T00:00:00Z
43018-024-00726-z	19.6	33.69	2024-02-13T00:00:00Z
43246-024-00604-2	16.3	25.28	2024-08-15T00:00:00Z
43018-024-00820-2	17.7	30.15	2024-09-06T00:00:00Z
43018-024-00802-4	16.9	29.17	2024-08-12T00:00:00Z
43018-024-00808-y	20.7	35.95	2024-08-16T00:00:00Z
43018-024-00806-0	16.0	23.55	2024-08-16T00:00:00Z
43018-024-00801-5	19.3	26.21	2024-08-12T00:00:00Z
43247-024-01816-7	16.4	27.3	2024-11-11T00:00:00Z
43247-024-01736-6	17.7	25.98	2024-11-11T00:00:00Z
43018-023-00695-9	18.0	28.76	2024-01-09T00:00:00Z
43247-024-01781-1	16.8	25.4	2024-11-09T00:00:00Z
43247-024-01795-9	15.4	26.2	2024-11-11T00:00:00Z
43018-023-00658-0	17.8	31.13	2024-01-03T00:00:00Z
43018-023-00721-w	19.0	29.0	2024-01-29T00:00:00Z
43018-023-00712-x	16.4	28.52	2024-01-24T00:00:00Z
43247-024-01855-0	15.6	24.64	2024-11-09T00:00:00Z
43247-024-01862-1	16.9	26.61	2024-11-09T00:00:00Z
43018-023-00703-y	17.6	28.93	2024-01-09T00:00:00Z
43018-023-00710-z	18.1	27.32	2024-01-17T00:00:00Z
43018-023-00715-8	16.6	28.46	2024-01-30T00:00:00Z
43247-024-01822-9	15.6	29.09	2024-11-11T00:00:00Z
43247-024-01825-6	15.1	27.19	2024-11-11T00:00:00Z
43247-024-01872-z	16.5	25.33	2024-11-10T00:00:00Z
43016-024-00924-z	17.0	28.01	2024-02-08T00:00:00Z
43016-024-00927-w	16.5	25.23	2024-02-21T00:00:00Z
43017-024-00577-3	15.7	47.63	2024-07-03T00:00:00Z
43018-024-00799-w	15.1	54.1	2024-07-05T00:00:00Z
43018-024-00776-3	16.3	54.57	2024-05-08T00:00:00Z
43018-024-00805-1	16.4	21.46	2024-09-11T00:00:00Z
43018-024-00815-z	17.0	26.44	2024-09-11T00:00:00Z
43246-024-00697-9	15.2	26.61	2024-11-21T00:00:00Z
43247-024-01901-x	15.9	27.12	2024-11-21T00:00:00Z
43247-024-01906-6	16.3	25.62	2024-11-21T00:00:00Z
43247-024-01909-3	18.2	28.99	2024-11-22T00:00:00Z
43247-024-01841-6	18.4	32.69	2024-11-21T00:00:00Z
43018-024-00763-8	18.1	26.91	2024-04-19T00:00:00Z
43247-024-01891-w	17.1	30.55	2024-11-22T00:00:00Z
43018-024-00761-w	17.0	27.89	2024-04-18T00:00:00Z
43247-024-01875-w	18.3	28.64	2024-11-21T00:00:00Z
43016-023-00901-y	18.6	28.47	2024-01-02T00:00:00Z
43016-023-00906-7	17.3	26.85	2024-01-03T00:00:00Z
43018-023-00672-2	19.3	31.6	2024-01-02T00:00:00Z
43016-023-00913-8	16.1	27.18	2024-01-26T00:00:00Z
43018-023-00691-z	16.8	28.35	2024-01-10T00:00:00Z
43018-023-00720-x	18.0	29.4	2024-01-24T00:00:00Z
43018-023-00669-x	18.1	30.96	2024-01-03T00:00:00Z
42254-024-00697-1	14.5	12.13	2024-01-26T00:00:00Z
42255-023-00946-0	15.9	25.92	2024-01-02T00:00:00Z
42255-023-00958-w	18.8	20.25	2024-01-22T00:00:00Z
42255-023-00941-5	21.6	25.94	2024-01-03T00:00:00Z
42255-023-00949-x	17.3	18.74	2024-01-10T00:00:00Z
42256-023-00774-7	18.0	22.1	2024-01-15T00:00:00Z
42255-023-00947-z	19.1	24.83	2024-01-02T00:00:00Z
42255-024-01030-x	20.6	30.63	2024-04-11T00:00:00Z
42255-024-01067-y	16.9	24.59	2024-07-02T00:00:00Z
42255-024-01074-z	19.7	34.96	2024-07-03T00:00:00Z
42255-024-01079-8	17.2	25.63	2024-07-12T00:00:00Z
42254-024-00691-7	15.2	19.14	2024-03-04T00:00:00Z
42255-024-01097-6	18.0	26.21	2024-08-08T00:00:00Z
42256-024-00811-z	18.7	22.68	2024-03-08T00:00:00Z
42256-024-00826-6	20.0	30.22	2024-03-22T00:00:00Z
42254-024-00705-4	17.6	27.71	2024-03-13T00:00:00Z
42256-024-00859-x	16.3	27.54	2024-06-27T00:00:00Z
42256-024-00852-4	20.6	37.68	2024-06-24T00:00:00Z
42254-024-00729-w	17.1	31.24	2024-06-25T00:00:00Z
42254-024-00726-z	13.5	14.27	2024-05-13T00:00:00Z
42255-023-00943-3	17.1	27.37	2024-01-04T00:00:00Z
42255-023-00956-y	17.8	30.15	2024-01-19T00:00:00Z
42254-024-00702-7	14.6	18.27	2024-02-27T00:00:00Z
42255-023-00951-3	16.3	17.52	2024-02-20T00:00:00Z
42254-024-00696-2	13.1	14.45	2024-02-08T00:00:00Z
